Account_ID,Company,Coverage Type,State,Zip Code,3 digit Zip,Species,Age,Breed,Billing,Gender,Deductible,Reimbursement,Annual Limit,Multipolicies,Multipet2,Multipet3,Military,LM Price,Safeco Price,Priority Code
608377,LM,Accident & Illness,MA,02143,All,Dog,2,Chihuahua,Monthly,Male,1000,1,15000,false,false,false,false,37.06,,
609780,LM,Accident Only,PA,19103,All,Dog,2,Labrador Retriever,Monthly,Female,500,0.8,10000,false,false,false,false,19.78,,
609896,LM,Accident & Illness,OR,97214,972,Cat,5,Domestic Short-Haired,Monthly,Male,500,0.8,10000,false,false,false,false,37.75,,
609970,LM,Accident Only,OH,45373,All,Dog,4,Chihuahua,Monthly,Female,250,0.9,5000,false,false,false,false,26.92,,
610183,LM,Accident & Illness & Wellness,VA,22304,223,Dog,11,Yorkipoo,Monthly,Female,250,1,15000,false,false,false,false,114.08,,
610603,LM,Accident & Illness & Wellness,OH,45255,All,Dog,7,Small Mix (11-25 pounds),Monthly,Female,500,0.8,10000,false,false,false,false,85.46,,
610805,LM,Accident & Illness,TX,78748,787,Dog,13,Catahoula Leopard Dog,Monthly,Male,500,0.8,10000,false,true,false,false,65.79,,
610806,LM,Accident & Illness,TX,78748,787,Dog,4,Great Dane,Monthly,Female,250,0.8,10000,false,true,false,false,52.34,,
611170,LM,Accident & Illness & Wellness,VA,23455,234,Dog,2,Australian Shepherd,Monthly,Female,250,0.9,5000,true,false,false,true,81.85,,
611440,LM,Accident & Illness,MA,02760,All,Dog,3,Mastiff,Monthly,Male,500,0.8,10000,true,false,false,false,61.5,,
611654,LM,Accident & Illness,VT,05143,All,Cat,2,Mixed Cat,Monthly,Male,250,0.8,5000,false,true,false,false,24.18,,
611655,LM,Accident & Illness,VT,05143,All,Cat,9,Mixed Cat,Monthly,Female,250,0.8,10000,false,true,false,false,34.85,,
611802,LM,Accident Only,TX,76301,763,Cat,9,Mixed Cat,Monthly,Male,500,0.8,10000,false,false,false,false,8.82,,
611933,LM,Accident & Illness & Wellness,SC,29203,292,Dog,2,Small Mix (11-25 pounds),Monthly,Male,1000,0.9,15000,false,true,false,false,47.73,,
611934,LM,Accident & Illness & Wellness,SC,29203,292,Dog,2,Small Mix (11-25 pounds),Monthly,Male,1000,0.9,15000,false,true,false,false,47.73,,
611964,LM,Accident & Illness & Wellness,SC,29335,293,Dog,3,Yorkshire Terrier,Monthly,Male,500,0.8,10000,false,true,false,false,77.02,,
611965,LM,Accident & Illness & Wellness,SC,29335,293,Dog,8,Cockapoo,Monthly,Male,500,0.8,10000,false,true,false,false,90.81,,
612039,LM,Accident & Illness & Wellness,MA,01778,All,Dog,2,Medium Mix (26-50 pounds),Monthly,Female,250,0.9,5000,true,false,false,false,88.21,,
612495,LM,Accident & Illness & Wellness,MA,02368,All,Dog,2,Miniature Pinscher,Monthly,Male,250,0.9,10000,false,false,false,false,98.25,,
613087,LM,Accident & Illness,PA,19102,All,Cat,13,Domestic Short-Haired,Monthly,Female,1000,0.8,10000,false,false,false,false,32.37,,
613203,LM,Accident & Illness,GA,31907,319,Dog,2,Large Mix (51-100 pounds),Monthly,Male,500,0.8,10000,false,false,false,false,38.13,,
613245,LM,Accident & Illness & Wellness,IL,60654,606,Cat,2,Ragamuffin,Monthly,Male,500,0.9,5000,true,false,false,false,66,,
613279,LM,Accident & Illness,CO,80526,805,Dog,3,American Staffordshire Terrier,Monthly,Female,1000,0.8,5000,false,false,false,false,36.17,,
613372,LM,Accident & Illness,WV,25177,All,Dog,2,Mixed Breed,Monthly,Male,500,0.8,10000,false,false,false,false,46.14,,
613857,LM,Accident Only,PA,19382,All,Dog,2,Labradoodle,Monthly,Female,1000,0.8,15000,false,false,false,false,15.36,,
613931,LM,Accident & Illness,TX,75204,752,Dog,8,Weimaraner,Monthly,Male,250,0.9,15000,false,false,false,false,92.08,,
614422,LM,Accident & Illness,TX,75071,750,Dog,2,"Bulldog, French",Monthly,Male,1000,0.8,10000,false,false,false,false,33.47,,
614512,LM,Accident & Illness & Wellness,VA,22554,225,Dog,5,Labrador Retriever,Monthly,Male,500,0.8,10000,false,false,false,false,82.84,,
614760,LM,Accident & Illness & Wellness,VA,20171,201,Dog,2,"Bulldog, French",Monthly,Male,500,1,10000,false,true,false,false,75.23,,
